,period,period_time,event,team,description,player_one,player_two,event_type,x_cord,y_cord,empty_net,pit_score,sjs_score,shot_attempt
304,3,6:46,blocked_shot,Pittsburgh Penguins,Kris Letang blocked shot from Marc-Edouard Vlasic,Marc-Edouard Vlasic,Kris Letang,NA,68,20,NA,2,1,1
305,3,6:56,giveaway,San Jose Sharks,Giveaway by Marc-Edouard Vlasic,Marc-Edouard Vlasic,NA,NA,77,40,NA,2,1,0
306,3,7:14,blocked_shot,Pittsburgh Penguins,Ben Lovejoy blocked shot from Logan Couture,Logan Couture,Ben Lovejoy,NA,57,27,NA,2,1,1
307,3,7:16,stoppage,NA,Puck in Netting,NA,NA,NA,NA,NA,NA,2,1,0
308,3,7:16,faceoff,Pittsburgh Penguins,Nick Bonino faceoff won against Joe Thornton,Nick Bonino,Joe Thornton,NA,69,22,NA,2,1,0
309,3,7:44,shot,Pittsburgh Penguins,Brian Dumoulin Slap Shot saved by Martin Jones,Brian Dumoulin,NA,slap_shot,48,-5,NA,2,1,1
310,3,7:50,blocked_shot,San Jose Sharks,Justin Braun blocked shot from Conor Sheary,Conor Sheary,Justin Braun,NA,65,-9,NA,2,1,1
311,3,8:00,giveaway,San Jose Sharks,Giveaway by Marc-Edouard Vlasic,Marc-Edouard Vlasic,NA,NA,98,8,NA,2,1,0
312,3,8:17,hit,San Jose Sharks,Joel Ward hit Ben Lovejoy,Joel Ward,Ben Lovejoy,NA,98,-30,NA,2,1,0
313,3,8:25,giveaway,San Jose Sharks,Giveaway by Roman Polak,Roman Polak,NA,NA,80,40,NA,2,1,0
314,3,8:45,missed_shot,San Jose Sharks,Nick Spaling - Wide of Net,Nick Spaling,NA,NA,55,-24,NA,2,1,1
315,3,9:00,hit,Pittsburgh Penguins,Ian Cole hit Patrick Marleau,Ian Cole,Patrick Marleau,NA,22,-41,NA,2,1,0
316,3,9:22,hit,San Jose Sharks,Brent Burns hit Conor Sheary,Brent Burns,Conor Sheary,NA,45,-41,NA,2,1,0
317,3,9:32,hit,San Jose Sharks,Joe Pavelski hit Olli Maatta,Joe Pavelski,Olli Maatta,NA,98,-19,NA,2,1,0
318,3,10:02,missed_shot,San Jose Sharks,Joonas Donskoi - Wide of Net,Joonas Donskoi,NA,NA,54,1,NA,2,1,1
319,3,10:06,blocked_shot,Pittsburgh Penguins,Patric Hornqvist blocked shot from Marc-Edouard Vlasic,Marc-Edouard Vlasic,Patric Hornqvist,NA,58,9,NA,2,1,1
320,3,10:14,giveaway,San Jose Sharks,Giveaway by Justin Braun,Justin Braun,NA,NA,40,-10,NA,2,1,0
321,3,10:39,hit,San Jose Sharks,Matt Nieto hit Brian Dumoulin,Matt Nieto,Brian Dumoulin,NA,97,4,NA,2,1,0
322,3,10:58,takeaway,Pittsburgh Penguins,Takeaway by Phil Kessel,Phil Kessel,NA,NA,26,11,NA,2,1,0
323,3,11:02,penalty,San Jose Sharks,Brent Burns Slashing against Phil Kessel,Brent Burns,Phil Kessel,slashing,35,11,NA,2,1,0
324,3,11:02,stoppage,NA,TV timeout,NA,NA,NA,NA,NA,NA,2,1,0
325,3,11:02,faceoff,Pittsburgh Penguins,Sidney Crosby faceoff won against Logan Couture,Sidney Crosby,Logan Couture,NA,69,-22,NA,2,1,0
326,3,11:24,blocked_shot,San Jose Sharks,Chris Tierney blocked shot from Evgeni Malkin,Evgeni Malkin,Chris Tierney,NA,54,-1,NA,2,1,1
327,3,11:25,stoppage,NA,Puck in Netting,NA,NA,NA,NA,NA,NA,2,1,0
328,3,11:25,faceoff,San Jose Sharks,Chris Tierney faceoff won against Sidney Crosby,Chris Tierney,Sidney Crosby,NA,69,22,NA,2,1,0
329,3,13:28,takeaway,Pittsburgh Penguins,Takeaway by Conor Sheary,Conor Sheary,NA,NA,5,35,NA,2,1,0
330,3,13:35,blocked_shot,San Jose Sharks,Joe Pavelski blocked shot from Sidney Crosby,Sidney Crosby,Joe Pavelski,NA,73,-8,NA,2,1,1
331,3,13:38,stoppage,NA,Puck in Netting,NA,NA,NA,NA,NA,NA,2,1,0
332,3,13:38,faceoff,San Jose Sharks,Chris Tierney faceoff won against Evgeni Malkin,Chris Tierney,Evgeni Malkin,NA,69,-22,NA,2,1,0
333,3,14:18,shot,Pittsburgh Penguins,Phil Kessel Slap Shot saved by Martin Jones,Phil Kessel,NA,slap_shot,81,-5,NA,2,1,1
334,3,15:01,missed_shot,San Jose Sharks,Marc-Edouard Vlasic - Wide of Net,Marc-Edouard Vlasic,NA,NA,50,37,NA,2,1,1
335,3,15:06,blocked_shot,Pittsburgh Penguins,Patric Hornqvist blocked shot from Justin Braun,Justin Braun,Patric Hornqvist,NA,44,-16,NA,2,1,1
336,3,15:14,takeaway,Pittsburgh Penguins,Takeaway by Sidney Crosby,Sidney Crosby,NA,NA,55,-39,NA,2,1,0
337,3,15:20,blocked_shot,San Jose Sharks,Logan Couture blocked shot from Ben Lovejoy,Ben Lovejoy,Logan Couture,NA,58,11,NA,2,1,1
338,3,15:35,hit,Pittsburgh Penguins,Chris Kunitz hit Joel Ward,Chris Kunitz,Joel Ward,NA,99,32,NA,2,1,0
339,3,15:48,missed_shot,San Jose Sharks,Melker Karlsson - Wide of Net,Melker Karlsson,NA,NA,58,-23,NA,2,1,1
340,3,15:57,shot,Pittsburgh Penguins,Carl Hagelin Wrist Shot saved by Martin Jones,Carl Hagelin,NA,wrist_shot,76,17,NA,2,1,1
341,3,15:58,stoppage,NA,Goalie Stopped,NA,NA,NA,NA,NA,NA,2,1,0
342,3,15:58,faceoff,San Jose Sharks,Chris Tierney faceoff won against Nick Bonino,Chris Tierney,Nick Bonino,NA,69,22,NA,2,1,0
343,3,16:17,stoppage,NA,Offside,NA,NA,NA,NA,NA,NA,2,1,0
344,3,16:17,faceoff,Pittsburgh Penguins,Sidney Crosby faceoff won against Joe Pavelski,Sidney Crosby,Joe Pavelski,NA,20,-22,NA,2,1,0
345,3,16:22,giveaway,Pittsburgh Penguins,Giveaway by Matt Cullen,Matt Cullen,NA,NA,5,-38,NA,2,1,0
346,3,16:59,stoppage,NA,Icing,NA,NA,NA,NA,NA,NA,2,1,0
347,3,16:59,faceoff,San Jose Sharks,Joel Ward faceoff won against Evgeni Malkin,Joel Ward,Evgeni Malkin,NA,69,-22,NA,2,1,0
348,3,17:05,stoppage,NA,Hand Pass,NA,NA,NA,NA,NA,NA,2,1,0
349,3,17:05,faceoff,Pittsburgh Penguins,Evgeni Malkin faceoff won against Joe Pavelski,Evgeni Malkin,Joe Pavelski,NA,20,-22,NA,2,1,0
350,3,17:23,stoppage,NA,High Stick,NA,NA,NA,NA,NA,NA,2,1,0
351,3,17:23,faceoff,Pittsburgh Penguins,Sidney Crosby faceoff won against Chris Tierney,Sidney Crosby,Chris Tierney,NA,0,0,NA,2,1,0
352,3,18:49,giveaway,Pittsburgh Penguins,Giveaway by Kris Letang,Kris Letang,NA,NA,49,-40,NA,2,1,0
353,3,18:55,blocked_shot,Pittsburgh Penguins,Sidney Crosby blocked shot from Marc-Edouard Vlasic,Marc-Edouard Vlasic,Sidney Crosby,NA,48,15,NA,2,1,1
354,3,18:58,goal,Pittsburgh Penguins,"Patric Hornqvist (9) Wrist Shot, assists: Sidney Crosby (13)",Patric Hornqvist,NA,wrist_shot,40,21,TRUE,3,1,1
355,3,18:58,faceoff,Pittsburgh Penguins,Nick Bonino faceoff won against Chris Tierney,Nick Bonino,Chris Tierney,NA,0,0,NA,3,1,0
